model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
random_forest,multiclass,time_ablated,29,macro_f1,0.5412691440238543,41,33.26381039619446,0.7516425755584757,,,,,300.0,10.0,4.0,log2,,True,0.5606372604206679,0.594461654270502,0.5412691440238543,0.836507708575873,0.9887887411096165,0.953087451281718,0.8823665950010242,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,30,macro_f1,0.5315111266564159,41,29.611623287200928,0.8341442625279681,,,,,200.0,5.0,1.0,sqrt,40.0,True,0.5472024338704026,0.558073032839698,0.5315111266564159,0.887864152654323,0.9930450442159718,0.9088393786424256,0.8544409645090713,,,,,,,,,,,,,
xgboost,binary,time_ablated,1,f1_score,0.3989285714285714,41,3.375619411468506,0.8804560144901801,0.2800902708124373,0.6929280397022333,0.3989285714285714,0.9001917421467456,200.0,,,,6.0,,,,,,,,,0.7,1.0,3.0,0.01,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,2,f1_score,0.4356975837879969,41,4.528290033340454,0.8971481336790141,0.3176136363636364,0.6935483870967742,0.4356975837879969,0.8992097815311515,200.0,,,,8.0,,,,,,,,,1.0,5.0,3.0,0.1,0.0,0.7,,,,,,,
xgboost,binary,time_ablated,3,f1_score,0.4106381047472088,41,5.589141130447388,0.8847000745818091,0.290260490183498,0.7016129032258065,0.4106381047472088,0.8977891082935621,400.0,,,,6.0,,,,,,,,,0.8,5.0,1.0,0.1,0.5,0.8,,,,,,,
xgboost,binary,time_ablated,4,f1_score,0.4606681609563454,41,4.802161931991577,0.9102709805732144,0.3511798209926769,0.6693548387096774,0.4606681609563454,0.8992997137918801,600.0,,,,4.0,,,,,,,,,1.0,2.0,1.0,0.01,0.5,1.0,,,,,,,
xgboost,binary,time_ablated,5,f1_score,0.4264133016627078,41,2.264355182647705,0.8927975281457542,0.3073551568278318,0.6960297766749379,0.4264133016627078,0.9025500992742788,300.0,,,,3.0,,,,,,,,,1.0,5.0,1.0,0.2,0.5,1.0,,,,,,,
xgboost,binary,time_ablated,6,f1_score,0.4089416058394161,41,14.23032283782959,0.8849664381858863,0.2896845915201654,0.6950992555831266,0.4089416058394161,0.8960685732173512,800.0,,,,8.0,,,,,,,,,0.7,5.0,5.0,0.03,0.5,1.0,,,,,,,
xgboost,binary,time_ablated,7,f1_score,0.3793422491378585,41,9.216829776763916,0.8689668643676528,0.2602423542989036,0.6994416873449132,0.3793422491378585,0.8915431746128935,600.0,,,,6.0,,,,,,,,,0.7,2.0,1.0,0.2,0.0,0.7,,,,,,,
xgboost,binary,time_ablated,8,f1_score,0.4385229540918163,41,4.349350929260254,0.9000958908974678,0.3232783990582695,0.6814516129032258,0.4385229540918163,0.9000904522354708,300.0,,,,8.0,,,,,,,,,1.0,2.0,3.0,0.05,0.5,1.0,,,,,,,
xgboost,binary,time_ablated,9,f1_score,0.4293577981651376,41,4.91015362739563,0.8950704975672125,0.3117374842238115,0.6895161290322581,0.4293577981651376,0.9027538154461244,600.0,,,,4.0,,,,,,,,,1.0,2.0,3.0,0.03,0.1,0.8,,,,,,,
xgboost,binary,time_ablated,10,f1_score,0.4096692111959287,41,8.682841777801514,0.8846468018609938,0.2897172236503856,0.6991315136476427,0.4096692111959287,0.8994767476643202,800.0,,,,4.0,,,,,,,,,0.9,1.0,5.0,0.1,0.0,0.7,,,,,,,
xgboost,binary,time_ablated,11,f1_score,0.4309927360774818,41,7.860267877578735,0.8956742550697873,0.3133361498380509,0.690136476426799,0.4309927360774818,0.9027073361308364,600.0,,,,6.0,,,,,,,,,0.7,2.0,1.0,0.01,0.0,1.0,,,,,,,
xgboost,binary,time_ablated,12,f1_score,0.4103924618058732,41,6.169535636901856,0.885552438114856,0.2910341248215907,0.6957196029776674,0.4103924618058732,0.8953559010940269,600.0,,,,6.0,,,,,,,,,1.0,1.0,1.0,0.1,0.1,1.0,,,,,,,
xgboost,binary,time_ablated,13,f1_score,0.4281058282208589,41,3.498552083969116,0.8940583158717192,0.3097946725860155,0.6926178660049628,0.4281058282208589,0.9029064514025764,400.0,,,,4.0,,,,,,,,,1.0,5.0,3.0,0.03,0.5,0.9,,,,,,,
xgboost,binary,time_ablated,14,f1_score,0.4261983863312767,41,3.403783798217773,0.892655467556913,0.3070715360415811,0.6963399503722084,0.4261983863312767,0.9021654903163177,400.0,,,,4.0,,,,,,,,,1.0,5.0,3.0,0.1,0.5,0.7,,,,,,,
xgboost,binary,time_ablated,15,f1_score,0.3924521615875266,41,7.782666921615601,0.8782185602159321,0.2746775793650793,0.6870347394540943,0.3924521615875266,0.8888328763787511,600.0,,,,8.0,,,,,,,,,1.0,2.0,1.0,0.1,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,16,f1_score,0.4312506073267904,41,8.770237445831299,0.8960649216891003,0.3139946228951464,0.6882754342431762,0.4312506073267904,0.9029275717249654,800.0,,,,6.0,,,,,,,,,1.0,5.0,3.0,0.01,0.1,0.8,,,,,,,
xgboost,binary,time_ablated,17,f1_score,0.4191258871871497,41,7.130673885345459,0.889547892176013,0.2998396579369321,0.6960297766749379,0.4191258871871497,0.900410268835121,600.0,,,,4.0,,,,,,,,,0.9,5.0,5.0,0.1,0.0,0.7,,,,,,,
xgboost,binary,time_ablated,18,f1_score,0.4397686477861986,41,3.4400453567504883,0.9002379514863089,0.324074074074074,0.6839330024813896,0.4397686477861986,0.902790178623593,300.0,,,,4.0,,,,,,,,,0.8,5.0,3.0,0.03,0.5,0.8,,,,,,,
xgboost,binary,time_ablated,19,f1_score,0.4157168010379019,41,3.600898742675781,0.8880384984195759,0.2964186599709263,0.6957196029776674,0.4157168010379019,0.8970572964257988,200.0,,,,8.0,,,,,,,,,0.8,2.0,1.0,0.1,0.1,0.7,,,,,,,
xgboost,binary,time_ablated,20,f1_score,0.4285165257494235,41,2.6782193183898926,0.8943779521966119,0.3104120267260579,0.6916873449131513,0.4285165257494235,0.9021196945633312,200.0,,,,5.0,,,,,,,,,0.7,1.0,3.0,0.1,0.0,1.0,,,,,,,
xgboost,binary,time_ablated,21,f1_score,0.4377506112469437,41,7.535342216491699,0.8979117093440352,0.3196686187687473,0.6941687344913151,0.4377506112469437,0.9030429535359918,600.0,,,,5.0,,,,,,,,,0.8,5.0,3.0,0.03,0.5,0.9,,,,,,,
xgboost,binary,time_ablated,22,f1_score,0.3998213488164359,41,11.527149438858032,0.8806868629470469,0.2807677832141513,0.6941687344913151,0.3998213488164359,0.893304384567243,600.0,,,,8.0,,,,,,,,,0.8,5.0,1.0,0.05,0.0,1.0,,,,,,,
xgboost,binary,time_ablated,23,f1_score,0.41280353200883,41,3.483739137649536,0.8866356501047696,0.2934100418410041,0.6960297766749379,0.41280353200883,0.900013300252813,300.0,,,,4.0,,,,,,,,,0.9,5.0,5.0,0.2,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,24,f1_score,0.428393762556204,41,7.947365283966064,0.893898497709273,0.3097247198782681,0.6944789081885856,0.428393762556204,0.9037495699984156,800.0,,,,3.0,,,,,,,,,0.7,5.0,1.0,0.03,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,25,f1_score,0.4457004440855874,41,3.768688678741455,0.9024754057605568,0.3303411131059246,0.684863523573201,0.4457004440855874,0.9033136120740708,300.0,,,,5.0,,,,,,,,,0.8,5.0,5.0,0.03,0.5,0.8,,,,,,,
xgboost,binary,time_ablated,26,f1_score,0.4284075702542534,41,9.97028923034668,0.8938097098412473,0.3096159159988947,0.6950992555831266,0.4284075702542534,0.902133914996165,800.0,,,,5.0,,,,,,,,,0.8,2.0,3.0,0.03,0.0,0.9,,,,,,,
xgboost,binary,time_ablated,27,f1_score,0.4230156498922313,41,5.971563339233398,0.8906666193131371,0.3030750637840741,0.700062034739454,0.4230156498922313,0.9036612093467388,600.0,,,,3.0,,,,,,,,,0.7,1.0,5.0,0.05,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,28,f1_score,0.4216063879755753,41,4.947799921035767,0.8906666193131371,0.3023851232987468,0.6960297766749379,0.4216063879755753,0.8997461121079566,400.0,,,,5.0,,,,,,,,,0.9,5.0,5.0,0.1,0.0,0.8,,,,,,,
xgboost,binary,time_ablated,29,f1_score,0.4192401272693243,41,10.8240225315094,0.8897964982064851,0.300187617260788,0.6947890818858561,0.4192401272693243,0.8981026413782112,600.0,,,,8.0,,,,,,,,,0.7,2.0,1.0,0.03,0.5,0.7,,,,,,,
xgboost,binary,time_ablated,30,f1_score,0.4360607545320921,41,5.12321138381958,0.8978051639024044,0.3187222460965477,0.690136476426799,0.4360607545320921,0.8995881653982398,300.0,,,,8.0,,,,,,,,,0.8,2.0,1.0,0.05,0.0,0.7,,,,,,,
xgboost,binary,time_ablated,31,f1_score,0.4275057383320581,41,4.876267910003662,0.8937031643996164,0.3090431415929203,0.6932382133995038,0.4275057383320581,0.9032155676231242,600.0,,,,4.0,,,,,,,,,1.0,2.0,1.0,0.03,0.0,0.8,,,,,,,
