accuracy,balanced_accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,pr_auc,confusion_matrix,confusion_matrix_labels,threshold_percentile,threshold,model,seed
0.78642966225095,0.7002739156832328,0.15317941848554092,0.6029776674937966,0.24429783223374174,0.20242983612733095,0.7164183485415234,0.19149194447724524,"[[42343, 10747], [1280, 1944]]","['Normal (0)', 'Attack (1)']",80,0.9910994887351998,stacked_autoencoder,7
0.8338068686294705,0.7188459587095652,0.19118091211114466,0.5890198511166254,0.28866762939879914,0.1513279336974948,0.7164183485415234,0.19149194447724524,"[[45056, 8034], [1325, 1899]]","['Normal (0)', 'Attack (1)']",85,2.4873602390289307,stacked_autoencoder,7
0.8798700145612104,0.733516356652662,0.2542678695350451,0.5682382133995038,0.35132802761530346,0.1012055000941797,0.7164183485415234,0.19149194447724524,"[[47717, 5373], [1392, 1832]]","['Normal (0)', 'Attack (1)']",90,19.02240562438981,stacked_autoencoder,7
0.8995986788365238,0.7435427141139139,0.30042706964520366,0.5673076923076923,0.39282646048109965,0.08022226407986438,0.7164183485415234,0.19149194447724524,"[[48831, 4259], [1395, 1829]]","['Normal (0)', 'Attack (1)']",92,50.990674896240364,stacked_autoencoder,7
0.9104485563092659,0.6033368765619691,0.2381226605240426,0.2565136476426799,0.24697625802598178,0.04983989451874176,0.7164183485415234,0.19149194447724524,"[[50444, 2646], [2397, 827]]","['Normal (0)', 'Attack (1)']",95,887.3232727050655,stacked_autoencoder,7
0.9241041304116205,0.5724140487593753,0.2591743119266055,0.17524813895781638,0.20910436713545522,0.030420041439065737,0.7164183485415234,0.19149194447724524,"[[51475, 1615], [2659, 565]]","['Normal (0)', 'Attack (1)']",97,1906.6471044921868,stacked_autoencoder,7
0.9337109777320027,0.4975369555981299,0.029574861367837338,0.004962779156327543,0.00849933598937583,0.009888867960067809,0.7164183485415234,0.19149194447724524,"[[52565, 525], [3208, 16]]","['Normal (0)', 'Attack (1)']",99,5300.824960937487,stacked_autoencoder,7
0.7909756010938666,0.7042872735422362,0.15693987316368307,0.6063895781637717,0.24934634270773548,0.1978150310792993,0.7287326065527567,0.21781545725287688,"[[42588, 10502], [1269, 1955]]","['Normal (0)', 'Attack (1)']",80,1.0112198591232409,stacked_autoencoder,21
0.8351031715026459,0.7188051260862798,0.19228426395939086,0.5874689826302729,0.2897353526082301,0.1498587304577133,0.7287326065527567,0.21781545725287688,"[[45134, 7956], [1330, 1894]]","['Normal (0)', 'Attack (1)']",85,2.5568387508392334,stacked_autoencoder,21
0.8814149234648577,0.7338987133604764,0.2571709786276715,0.5673076923076923,0.35390866873065013,0.0995102655867395,0.7287326065527567,0.21781545725287688,"[[47807, 5283], [1395, 1829]]","['Normal (0)', 'Attack (1)']",90,11.768096160888696,stacked_autoencoder,21
